PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,batch,condition,study,sample_id
-5.534381310047544,6.661845488239782,-4.450906957265701,2.5534337092378974,-5.959873704000198,6.224723001495639,-0.36032262022529415,5.186609320720512,7.022342380479249,5.0225701536086245,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_0
-5.082071020216467,-10.519038182211693,-2.518819670884554,5.052173779495546,2.187302351542772,3.6372234090839606,1.609339100922935,1.2322317139793413,1.456393588850391,-1.6321119809475872,batch_1,Alzheimer's disease,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_1
-7.7467943017110485,-7.155125225311661,2.3324932001077276,-3.612210081756118,0.80205715409524,6.946118137375535,6.201270731628711,-7.16622520757403,3.6792957173761716,4.931226571788535,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_2
-1.6564552031185544,1.8673131639743188,-1.6303167586376042,7.812052124385409,-2.8376053761261364,1.27695475038515,4.84388188771002,4.936411823378626,-13.41904584922413,6.640003996331933,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_3
-4.730546265820921,5.700106790017069,12.092109164983881,-1.658143068789969,9.374581957100776,-10.486179960170306,1.494811196197329,-0.10418112728033482,1.8443129509855336,8.562840843570905,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_4
9.931772945769596,5.554609467796165,3.4077810944082416,9.520224347904223,5.023733028952289,5.792044049826577,-4.272505637963757,8.168033158227558,6.264068663757808,2.4607447119461616,batch_2,Alzheimer's disease,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_5
-6.484778275742624,-12.066637117698425,4.176339585453347,4.1905472913551165,-4.721432651361983,1.1936370677954347,-5.959997760898064,-1.8694822161900488,-5.57259104681642,1.0374418200404674,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_6
7.989868287315419,2.352386803339095,-0.9467121393927798,5.45216363306213,9.026983347728871,6.347436977406647,-2.2386582026489785,-8.059368474814706,-2.7812810283707337,-8.479723677669982,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_7
9.04091472876077,-8.274222801196784,-0.7602400194810999,-1.850258152419156,4.9000363142284185,-0.11036497785711809,-7.687781118073652,-2.838143166788084,2.0875104315568556,6.004639862718068,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_8
7.563252388045584,-6.080594769899795,3.5689051986176485,-6.36179525351432,-9.410057017382785,-3.009072182342869,-6.370764563717884,0.28275316634825076,3.55164179352417,-2.2766286092981587,batch_2,Alzheimer's disease,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_9
-2.885301391968743,-8.403629998971946,-4.335640664142982,-2.796081772384198,4.752554129266775,-7.76277651408446,1.3480993786110729,8.493350174569054,3.0660158144679954,-2.9831598884979282,batch_1,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_10
9.327511124260544,-6.342164343258816,-7.136031092982296,-1.200329248269256,1.4188960713950678,-3.344088841343801,11.530142418758267,-0.7165200083546059,-0.2557098552012002,0.22774456282332198,batch_1,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_11
-1.1404889733034906,3.9343653757113337,6.13226154506482,9.151217073706547,-3.835858426897638,-6.335585934288592,7.700591137356725,-7.510221584876921,3.0938944569755487,-7.044500025162697,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_12
-5.108617379916762,2.0951913927521995,3.5900991230979873,3.347784791104724,-9.384517445000856,-0.9067744552511713,-2.2270323654679283,1.77040216124323,2.958693004475028,-3.6867618250035323,batch_2,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_13
-5.329233064251485,3.0727474997158124,-5.954323617502496,-4.5715231489454,4.2335274991988205,-0.36017987997795337,0.4034118276048399,7.731528234266249,-4.150396927763939,-5.536205020644544,batch_2,Alzheimer's disease,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_14
9.939595594220922,5.86531878987113,-1.6550482048590178,-7.347890126344297,-6.014226684343713,2.7492836628375867,7.580098476242918,0.02297934829310224,3.463692476737385,1.5931447979993647,batch_1,control,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_15
-5.470862814776996,8.293843492367653,-15.082769465933621,1.16923608453622,-0.6079709788278215,-6.496618459422664,-7.293310219090371,-9.785995127830645,1.0578832210994342,4.449808073738723,batch_2,Alzheimer's disease,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_16
-6.940959519110466,5.325189035122501,4.4702926534350516,-11.18507775456964,3.23354414938285,9.747076698937791,0.056773809633622156,-2.590756560904739,-3.0013447968438443,-1.0800600760458468,batch_1,Alzheimer's disease,geo_GSE_SYNTH_0,GSM_GSE_SYNTH_0_17
