sample_id,condition,batch,study_id,repository,omics
GSM_GSE_SYNTH_2_0,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_1,disease,batch_1,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_2,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_3,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_4,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_5,disease,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_6,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_7,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_8,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_9,disease,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_10,control,batch_1,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_11,control,batch_1,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_12,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_13,control,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_14,disease,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_15,control,batch_1,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_16,disease,batch_2,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_17,disease,batch_1,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_18,disease,batch_1,GSE_SYNTH_2,geo,rna
GSM_GSE_SYNTH_2_19,control,batch_1,GSE_SYNTH_2,geo,rna
