sample_id,condition,batch,study_id,repository,omics
GSM_GSE_SYNTH_1_0,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_1,disease,batch_1,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_2,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_3,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_4,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_5,disease,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_6,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_7,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_8,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_9,disease,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_10,control,batch_1,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_11,control,batch_1,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_12,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_13,control,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_14,disease,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_15,control,batch_1,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_16,disease,batch_2,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_17,disease,batch_1,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_18,disease,batch_1,GSE_SYNTH_1,geo,rna
GSM_GSE_SYNTH_1_19,control,batch_1,GSE_SYNTH_1,geo,rna
